age,education,years_experience,skills_count,communication,leadership,technical,certifications,willing_to_travel,preferred_domain,role
48,Masters,26,3,6,6,5,5,0,IT,PROJECT MANAGER
38,Masters,15,3,7,6,0,0,0,Manufacturing,MANAGER
33,Diploma,7,3,8,9,6,5,0,Manufacturing,HR
36,Diploma,13,5,3,10,4,4,1,Marketing,MANAGER
29,Masters,3,1,6,2,10,4,0,Marketing,DATA ANALYST
42,Masters,20,3,5,3,4,1,1,Marketing,MANAGER
26,Masters,4,3,5,5,3,0,0,HR,PROJECT MANAGER
49,Masters,26,5,6,9,9,3,0,Finance,PROJECT MANAGER
36,Bachelors,16,2,4,4,4,2,0,Operations,PROJECT MANAGER
55,Masters,29,4,5,8,7,0,0,IT,PROJECT MANAGER
27,Masters,3,7,8,4,2,0,0,Finance,HR
24,Bachelors,1,2,5,0,6,1,1,Operations,DATA ANALYST
21,High School,0,3,5,8,3,5,0,Manufacturing,BUSINESS ANALYST
34,High School,9,2,7,7,5,2,0,HR,MANAGER
31,Bachelors,13,3,3,6,4,1,0,HR,HR
33,High School,9,0,8,2,2,0,1,Marketing,PROJECT MANAGER
39,Bachelors,16,3,4,7,4,2,1,HR,MANAGER
44,High School,17,5,5,2,8,2,0,Manufacturing,PROJECT MANAGER
23,Masters,2,3,3,0,8,1,1,Finance,DATA ANALYST
55,Bachelors,34,3,9,5,7,2,0,Marketing,HR
26,High School,2,3,6,3,5,3,0,Marketing,MANAGER
56,Diploma,31,3,4,7,6,3,0,HR,HR
18,High School,2,4,7,3,2,5,0,Operations,HR
50,PhD,33,1,5,0,4,4,0,IT,BUSINESS ANALYST
19,Bachelors,0,2,7,5,7,1,0,HR,BUSINESS ANALYST
42,Bachelors,22,4,5,10,5,3,0,Manufacturing,HR
18,Masters,2,3,5,5,0,3,0,Finance,HR
58,Diploma,32,2,4,5,3,4,0,HR,HR
28,Masters,4,3,4,7,7,5,0,HR,HR
21,Bachelors,0,1,5,6,0,2,0,IT,HR
39,Bachelors,23,2,8,7,8,2,1,IT,BUSINESS ANALYST
33,Bachelors,11,6,4,5,2,4,0,HR,HR
59,Masters,39,3,5,6,4,5,0,IT,DATA ANALYST
45,Diploma,21,2,5,2,9,0,0,Manufacturing,PROJECT MANAGER
18,Bachelors,5,0,8,3,5,5,0,Manufacturing,HR
38,Diploma,19,3,5,4,4,2,1,Finance,DATA ANALYST
19,Bachelors,0,3,5,9,6,4,0,Manufacturing,DATA ANALYST
50,Diploma,24,3,6,7,4,4,0,HR,MANAGER
41,Masters,18,0,4,5,6,0,0,Operations,MANAGER
22,PhD,3,5,7,4,4,4,1,Finance,HR
57,PhD,40,5,6,8,9,5,0,Marketing,PROJECT MANAGER
39,Bachelors,19,4,8,0,3,0,0,Finance,HR
32,Bachelors,6,5,5,5,2,3,0,Operations,CLERK
26,Bachelors,0,1,6,4,5,5,0,Finance,HR
41,High School,16,7,9,5,4,4,0,HR,HR
53,Bachelors,31,4,4,7,3,4,0,HR,PROJECT MANAGER
42,Bachelors,20,3,5,3,7,5,1,Marketing,DATA ANALYST
26,Masters,5,4,5,1,0,0,1,Finance,MANAGER
49,High School,29,2,6,3,5,2,1,HR,BUSINESS ANALYST
52,PhD,30,3,8,1,9,3,0,HR,DATA ANALYST
53,Bachelors,30,0,5,7,7,2,1,IT,MANAGER
21,Masters,0,1,6,4,1,4,0,Marketing,DATA ANALYST
20,Bachelors,0,2,4,4,7,0,0,HR,DATA ANALYST
51,Bachelors,28,1,3,5,8,4,0,Marketing,DATA ANALYST
29,Diploma,7,1,4,2,4,3,0,Finance,PROJECT MANAGER
25,High School,10,5,8,7,6,4,0,Manufacturing,PROJECT MANAGER
56,Bachelors,35,1,6,5,4,2,0,HR,MANAGER
28,Bachelors,10,4,3,7,5,0,1,HR,MANAGER
19,Bachelors,3,4,8,1,10,5,0,Manufacturing,HR
54,Diploma,28,4,1,2,7,1,0,HR,DATA ANALYST
56,Masters,31,2,8,7,5,4,0,Manufacturing,DATA ANALYST
22,Bachelors,0,3,9,4,6,1,0,IT,HR
53,Bachelors,30,4,8,6,7,4,1,IT,PROJECT MANAGER
58,Masters,40,1,5,2,8,2,0,HR,HR
37,Masters,10,2,2,9,3,4,0,IT,DATA ANALYST
20,Diploma,0,3,8,10,3,0,1,Finance,HR
31,Bachelors,4,1,7,6,5,5,0,Operations,MANAGER
38,PhD,15,0,5,4,3,1,0,IT,MANAGER
45,Diploma,24,3,5,6,1,1,0,Operations,HR
25,Masters,7,3,8,5,8,4,0,Marketing,DATA ANALYST
33,Bachelors,12,4,5,5,7,0,0,Marketing,HR
21,Masters,0,4,6,2,6,4,0,HR,DATA ANALYST
59,Bachelors,39,1,4,2,1,2,1,HR,MANAGER
23,Masters,5,2,6,2,9,1,0,Operations,HR
35,Masters,11,3,5,5,4,4,0,Manufacturing,HR
48,Masters,32,2,5,6,8,3,0,Finance,BUSINESS ANALYST
39,Diploma,19,2,7,4,8,2,0,Operations,DATA ANALYST
37,PhD,9,1,2,2,10,2,0,Manufacturing,DATA ANALYST
40,Bachelors,17,5,5,6,0,0,1,IT,HR
24,Masters,0,4,3,5,10,0,0,Operations,DATA ANALYST
23,Bachelors,2,1,9,4,4,0,0,Marketing,MANAGER
23,Masters,3,4,4,4,8,0,0,Operations,DATA ANALYST
33,Bachelors,14,1,3,6,4,2,0,Marketing,DATA ANALYST
60,High School,37,3,6,5,4,4,1,Finance,PROJECT MANAGER
32,Masters,3,1,5,7,6,5,1,Marketing,DATA ANALYST
24,Masters,4,6,5,3,2,2,1,Operations,BUSINESS ANALYST
26,Bachelors,0,2,4,4,5,5,1,Finance,DATA ANALYST
45,High School,19,5,6,5,5,4,0,Finance,HR
32,Bachelors,13,1,4,5,3,2,0,Marketing,PROJECT MANAGER
45,High School,22,1,8,5,7,4,0,IT,HR
32,Masters,12,3,4,7,6,4,0,HR,HR
45,Masters,23,3,5,6,0,2,0,Marketing,MANAGER
32,Bachelors,10,2,4,8,5,0,0,HR,HR
47,Masters,22,3,5,7,5,0,1,Finance,PROJECT MANAGER
44,Diploma,19,4,8,5,4,1,0,Marketing,HR
43,Bachelors,23,3,6,3,6,4,0,Operations,PROJECT MANAGER
24,Masters,2,3,4,3,0,2,1,Operations,MANAGER
41,Bachelors,20,0,6,1,7,1,1,Finance,HR
46,Bachelors,19,2,6,2,7,3,0,IT,PROJECT MANAGER
56,Bachelors,32,5,5,7,2,1,1,Operations,PROJECT MANAGER
28,Bachelors,4,5,7,7,3,0,0,Operations,BUSINESS ANALYST
44,Bachelors,19,1,7,9,4,2,0,Operations,HR
33,Masters,7,1,5,5,1,3,0,IT,HR
32,Masters,8,6,7,3,4,2,0,IT,DATA ANALYST
28,Bachelors,8,2,7,7,10,2,0,HR,MANAGER
21,Bachelors,1,5,4,7,4,4,0,Manufacturing,MANAGER
22,Bachelors,0,6,3,4,10,2,0,Marketing,DATA ANALYST
58,Diploma,34,1,5,4,1,2,1,Manufacturing,PROJECT MANAGER
47,Masters,24,4,8,8,7,5,0,IT,DATA ANALYST
58,Bachelors,32,3,3,8,2,0,0,HR,DATA ANALYST
57,Bachelors,34,3,5,6,4,0,0,Operations,BUSINESS ANALYST
23,Diploma,0,5,8,4,4,3,1,Operations,HR
46,Bachelors,21,3,6,8,0,1,0,HR,HR
39,Bachelors,18,4,5,4,10,1,0,Finance,PROJECT MANAGER
59,High School,41,2,6,1,10,0,0,Manufacturing,PROJECT MANAGER
18,Bachelors,0,3,7,0,5,2,1,Marketing,HR
31,Masters,11,3,2,5,6,3,1,Finance,DATA ANALYST
22,Bachelors,1,2,6,6,2,3,0,Manufacturing,HR
58,Bachelors,38,4,6,6,0,4,1,Manufacturing,HR
33,High School,11,2,5,8,5,1,0,Manufacturing,MANAGER
